max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Kiss My Kitty Cat - Sap,9910.0,Seven Angels - Earth,827.0,https://open.spotify.com/track/1TBKtuVaOsI7Ra798MAXKO,https://open.spotify.com/track/5QUxHs4p29dA8nOtYtBZdG,https://i.scdn.co/image/ab67616d0000b27346951594ce3411cdf300ad1f,https://i.scdn.co/image/ab67616d0000b2733b7cb5decdb33c4617a28df3
Luv Like That - MATT BARRI,-20800.0,De profundis clamavi - Josquin des Prez,-189990.0,https://open.spotify.com/track/2eYOAn3CpowyTb4ogDrQlP,https://open.spotify.com/track/0ly7Ww5R0xjgA25OerTqTk,https://i.scdn.co/image/ab67616d0000b273ab395c45a210ec2df9fe5e34,https://i.scdn.co/image/ab67616d0000b273706fbf26cda91bb23218007c
Luv Like That - MATT BARRI,-2.08,De profundis clamavi - Josquin des Prez,-18.99,https://open.spotify.com/track/2eYOAn3CpowyTb4ogDrQlP,https://open.spotify.com/track/0ly7Ww5R0xjgA25OerTqTk,https://i.scdn.co/image/ab67616d0000b273ab395c45a210ec2df9fe5e34,https://i.scdn.co/image/ab67616d0000b273706fbf26cda91bb23218007c
Let Me Blow Ya Mind - Eve,9080.0,Indulgence In The Void - Ales Lace,699.0,https://open.spotify.com/track/3RmKpob8xzv1pzHEQrMJah,https://open.spotify.com/track/0pulGokcHAp8yfXhO9Mvd3,https://i.scdn.co/image/ab67616d0000b2730a825fea8b9095572e5130ef,https://i.scdn.co/image/ab67616d0000b273844bcf7a5f909b498caf70cd
Sin City - Chrishan,4570.0,Dentro quell'ora - Cristian Nevola,259.0,https://open.spotify.com/track/2Eb367lyxqaHt6sLNANyrr,https://open.spotify.com/track/6J5X0qtjRQKgKCgcAPvuWU,https://i.scdn.co/image/ab67616d0000b273c509aeb30f7f7e374bcab652,https://i.scdn.co/image/ab67616d0000b273514d432f092323ad7e05bd36
De profundis clamavi - Josquin des Prez,9890.0,Black Cat - Betty Machete and the Angry Cougars,0.0,https://open.spotify.com/track/0ly7Ww5R0xjgA25OerTqTk,https://open.spotify.com/track/3gzLRPmJkrrEiHH3XXNUJK,https://i.scdn.co/image/ab67616d0000b273706fbf26cda91bb23218007c,https://i.scdn.co/image/ab67616d0000b2733960e4e0d037e1698cc6500c
Indulgence In The Void - Ales Lace,9680.0,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA) - Wu-Tang Clan",0.0,https://open.spotify.com/track/0pulGokcHAp8yfXhO9Mvd3,https://open.spotify.com/track/1Sgj10byiGzPpI2IrXSFEn,https://i.scdn.co/image/ab67616d0000b273844bcf7a5f909b498caf70cd,https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA) - Wu-Tang Clan",8260.0,Watch It Crash - Streetlight Manifesto,505.0,https://open.spotify.com/track/1Sgj10byiGzPpI2IrXSFEn,https://open.spotify.com/track/1QcG4svj4Hh1F3Du0FigIx,https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c,https://i.scdn.co/image/ab67616d0000b2739d9468ab048a4110a71eeab7
What's Going On - Marvin Gaye,201.0,Cherry Blossom Girl - Air,75.0,https://open.spotify.com/track/3Um9toULmYFGCpvaIPFw7l,https://open.spotify.com/track/4m8ttWM8IKXyhpv89E867J,https://i.scdn.co/image/ab67616d0000b273b36949bee43217351961ffbc,https://i.scdn.co/image/ab67616d0000b2736400fab74f28e90759ac8815
