r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Father Before Me - Until Lambs Become Lions [melodic punk] (2021),"Father Before Me - ""Until Lambs Become Lions"" (Official Music Video)",2022-11-08,0.73,42.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Father Before Me - ""Until Lambs Become Lions"" (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/2cWAj4XJ3Yk?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Father Before Me - &quot;Until Lambs Become Lions&quot; (Official Music Video)""></iframe>', 'author_name': 'Father Before Me', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/2cWAj4XJ3Yk/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/FatherBeforeMe'}}",Father Before Me,Until Lambs Become Lions,Father Before Me,Until Lambs Become Lions,melodic punk,youtube,,https://www.youtube.com/watch?v=2cWAj4XJ3Yk,2cWAj4XJ3Yk,,,,"Father Before Me - ""Until Lambs Become Lions"" (Official Music Video)",Father Before Me,2021-02-12T17:03:44Z,PT4M39S,22824,https://i.ytimg.com/vi/2cWAj4XJ3Yk/hqdefault.jpg,223,69,"['punk', 'metal', 'posthardcore', 'emo', 'Skatepunk', 'musicvideo', 'band']",22.8K,223,69,04:39,2021-02-12,42
Gas Station Boner Pills - Milkshake [Punk] (2022),Gas Station Boner Pills - Milkshake (Official Music Video) |Punk|,2022-11-10,0.8,39.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Gas Station Boner Pills - Milkshake (Official Music Video) |Punk|', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/RswTIxDUG9w?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Gas Station Boner Pills - Milkshake (Official Music Video) |Punk|""></iframe>', 'author_name': 'Tot Films Production', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/RswTIxDUG9w/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/SetFree732'}}",Gas Station Boner Pills,Milkshake,Gas Station Boner Pills,Milkshake,punk,youtube,,https://www.youtube.com/watch?v=RswTIxDUG9w,RswTIxDUG9w,,,,Gas Station Boner Pills - Milkshake (Official Music Video) |Punk|,Tot Films Production,2022-11-01T14:00:08Z,PT3M19S,749,https://i.ytimg.com/vi/RswTIxDUG9w/hqdefault.jpg,31,6,,749,31,6,03:19,2022-11-01,39
"Outer Limits Recordings -- I Need My T.V. [Lo-Fi, Hypnagogic Pop] (2010)",Outer Limits Recordings - I Need My T.V.,2022-11-09,0.79,27.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Outer Limits Recordings - I Need My T.V.', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/AiPGp0ZXBYQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Outer Limits Recordings - I Need My T.V.""></iframe>', 'author_name': 'OLRTV', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/AiPGp0ZXBYQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/OLRTV'}}",Outer Limits Recordings,I Need My T.V.,Outer Limits Recordings,I Need My T.V.,"lo-fi, hypnagogic pop",youtube,,https://www.youtube.com/watch?v=AiPGp0ZXBYQ,AiPGp0ZXBYQ,,,,Outer Limits Recordings - I Need My T.V.,OLRTV,2010-08-25T03:58:21Z,PT3M34S,45460,https://i.ytimg.com/vi/AiPGp0ZXBYQ/hqdefault.jpg,391,,"['outer', 'limits', 'recordings', 'need', 'my', 't.v.']",45.5K,391,,03:34,2010-08-25,27
Bedemon - Last Call [Doom Metal] (1975),Last Call,2022-11-08,0.74,27.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Last Call', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/BE8-1uVmm4s?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Last Call""></iframe>', 'author_name': 'Bedemon - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/BE8-1uVmm4s/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UClohgm8tDjhLg3i2rjBPHvw'}}",Bedemon,Last Call,,,doom metal,youtube,,https://www.youtube.com/watch?v=BE8-1uVmm4s,BE8-1uVmm4s,,,,Last Call,Bedemon - Topic,2020-03-04T08:38:33Z,PT3M8S,2384,https://i.ytimg.com/vi/BE8-1uVmm4s/hqdefault.jpg,54,1,"['Bedemon', 'Child of Darkness', 'Last Call']",2.38K,54,1,03:08,2020-03-04,27
Poltrock - Planetary Community Chicken [organic house] (2021),Planetary Community Chicken,2022-11-07,0.8,27.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Planetary Community Chicken', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/YBdweBvWISU?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Planetary Community Chicken""></iframe>', 'author_name': 'Poltrock Music', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/YBdweBvWISU/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/PoltrockMusic'}}",Poltrock,Planetary Community Chicken,,,organic house,youtube,,https://www.youtube.com/watch?v=YBdweBvWISU,YBdweBvWISU,,,,Planetary Community Chicken,Poltrock Music,2021-01-14T08:22:26Z,PT4M49S,1178,https://i.ytimg.com/vi/YBdweBvWISU/hqdefault.jpg,42,3,"['Hooverphonic', 'poltrockmusic', 'prepared piano', 'Poltrock palladium', 'schaarbeek', 'schaerbeek', 'brussels', 'hauschka', 'nils frahm', 'max richter', 'Johann johannson', 'Brian eno', 'Brandt Brauer Frick', 'upright piano', 'steinway', 'präpariertes klavier', 'glowballfilms', 'klaas backers', 'tvvv', 'the voice van vlaanderen', 'team bent', 'john cage', 'jon hopkins', 'ambient', 'de mens']",1.18K,42,3,04:49,2021-01-14,27
Sia - Breathe me live [Pop] (2010),Sia - Breathe Me (Live At London Roundhouse),2022-11-10,0.68,26.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Sia - Breathe Me (Live At London Roundhouse)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/-rASueWY_7k?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Sia - Breathe Me (Live At London Roundhouse)""></iframe>', 'author_name': 'SiaVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/-rASueWY_7k/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/SiaVEVO'}}",Sia,Breathe me,Sia,Breathe Me,pop,youtube,,https://www.youtube.com/watch?v=-rASueWY_7k,-rASueWY_7k,,,,Sia - Breathe Me (Live At London Roundhouse),SiaVEVO,2010-06-24T21:36:45Z,PT5M55S,2223462,https://i.ytimg.com/vi/-rASueWY_7k/hqdefault.jpg,15758,1111,"['Breathe Me', 'Pop', 'RCA Records Label', 'Sia']",2.22M,15.8K,1.11K,05:55,2010-06-24,26
"The Stone Roses - Fools Gold [Madchester, 1989]",The Stone Roses - Fools Gold (Official Video),2022-11-12,0.94,24.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'The Stone Roses - Fools Gold (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/NSD11dnphg0?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""The Stone Roses - Fools Gold (Official Video)""></iframe>', 'author_name': 'StoneRosesVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/NSD11dnphg0/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/StoneRosesVEVO'}}",The Stone Roses,Fools Gold,The Stone Roses,Fools Gold,"madchester, 1989",youtube,,https://www.youtube.com/watch?v=NSD11dnphg0,NSD11dnphg0,,,,The Stone Roses - Fools Gold (Official Video),StoneRosesVEVO,2011-01-16T08:18:25Z,PT4M16S,10905644,https://i.ytimg.com/vi/NSD11dnphg0/hqdefault.jpg,65324,4130,"['sally cinnamon', 'The Stone Roses Fools Gold Official', 'acoustic', 'The Stone Roses Fools Gold Lyrics', 'music', 'instrumental', 'love spreadsThe Stone Roses Fools Gold', 'vevo', 'fools gold', 'official', 'i am the resurrection', 'download', 'remix', 'waterfall', 'ian brown', 'lyrics', 'audio', 'The Stone Roses lyrics', 'official video', 'cover', 'she bangs the drums', 'Sony', '90s', 'i wanna be adored', 'music video', 'single', 'album', 'full album', 'live', 'The Stone Roses official', 'The', 'Stone']",10.9M,65.3K,4.13K,04:16,2011-01-16,24
Baby Brave - Doctor [Live Acoustic] (2022),"2022 Narrowboat Sessions. Baby Brave, 'Doctor'",2022-11-09,0.71,24.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""2022 Narrowboat Sessions. Baby Brave, 'Doctor'"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/h_wxKFFac64?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""2022 Narrowboat Sessions. Baby Brave, &#39;Doctor&#39;""></iframe>', 'author_name': 'The Narrowboat Sessions.', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/h_wxKFFac64/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCllSH2nzwspSEVqJVSORv3A'}}",Baby Brave,Doctor,2022 Narrowboat Sessions. Baby Brave,Doctor,live acoustic,youtube,,https://www.youtube.com/watch?v=h_wxKFFac64,h_wxKFFac64,,,,"2022 Narrowboat Sessions. Baby Brave, 'Doctor'",The Narrowboat Sessions.,2022-11-01T17:00:27Z,PT4M23S,425,https://i.ytimg.com/vi/h_wxKFFac64/hqdefault.jpg,13,0,,425,13,0,04:23,2022-11-01,24
Suzi Moon -- Dumb & In Luv [power pop / garage rock] (2022),"Suzi Moon - ""Dumb & In Luv"" (Official Music Video)",2022-11-08,0.81,22.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Suzi Moon - ""Dumb & In Luv"" (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/E90lSdW15bs?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Suzi Moon - &quot;Dumb &amp; In Luv&quot; (Official Music Video)""></iframe>', 'author_name': 'piratespress', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/E90lSdW15bs/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/piratespressrecords'}}",Suzi Moon,Dumb & In Luv,Suzi Moon,Dumb & In Luv,"power pop, garage rock",youtube,,https://www.youtube.com/watch?v=E90lSdW15bs,E90lSdW15bs,,,,"Suzi Moon - ""Dumb & In Luv"" (Official Music Video)",piratespress,2022-07-22T12:46:12Z,PT2M53S,7378,https://i.ytimg.com/vi/E90lSdW15bs/hqdefault.jpg,273,17,"['piratespress', 'Pirates Press', 'Record Label', 'Records', 'PiratesPress', 'Pirates Press Records', 'New Releases', 'Classic Re-Issues', 'suzi moon', 'civet', 'turbulent hearts', 'L.A. Machina', 'female punk', 'punk rock', 'rock n roll', 'Alice Bag', 'Exene Cervenka', 'Dinah Cancer', 'Nina Hagen', 'Wendy O Williams', 'Siouxsie Sioux', 'Patti Smith', 'Debbie Harry', 'The Distillers', 'The Pretenders', 'Joan Jett', 'Spinnerette', 'Naked Aggression', 'Despise You', 'dumb and in love', 'dumb and in luv', 'dumb & in luv']",7.38K,273,17,02:53,2022-07-22,22
The Renters - 706 [Alternative Rock] (2021),706,2022-11-08,0.77,18.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '706', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/rbHnp48Outo?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""706""></iframe>', 'author_name': 'The Renters - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/rbHnp48Outo/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCIwA9bYCPROk08TPlFr2UWA'}}",The Renters,706,,,alternative rock,youtube,,https://www.youtube.com/watch?v=rbHnp48Outo,rbHnp48Outo,,,,706,The Renters - Topic,2021-07-22T10:06:40Z,PT4M21S,931,https://i.ytimg.com/vi/rbHnp48Outo/hqdefault.jpg,22,0,"['The Renters', '706']",931,22,0,04:21,2021-07-22,18
Captain Beefheart - Upon The My O My [Rock],Captain Beefheart   Upon The My O My Old Grey Whistle Test 1974,2022-11-10,0.9,16.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Captain Beefheart   Upon The My O My Old Grey Whistle Test 1974', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/dq6fCOGyVJg?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Captain Beefheart   Upon The My O My Old Grey Whistle Test 1974""></iframe>', 'author_name': 'Leo Ber', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/dq6fCOGyVJg/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/leober7'}}",Captain Beefheart,Upon The My O My,,,rock,youtube,,https://www.youtube.com/watch?v=dq6fCOGyVJg,dq6fCOGyVJg,,,,Captain Beefheart   Upon The My O My Old Grey Whistle Test 1974,Leo Ber,2010-11-20T08:01:51Z,PT3M16S,1069991,https://i.ytimg.com/vi/dq6fCOGyVJg/hqdefault.jpg,7926,854,"['leober7', ""leo'swonderworld"", 'rock', 'captain', 'beefheart', 'Captain', 'Beefheart', 'Upon', 'The', 'My', 'Old', 'Grey', 'Whistle', 'Test', '1974']",1.07M,7.93K,854,03:16,2010-11-20,16
Animal Collective - Leaf House [Experimental Pop/Folk],Animal Collective - Leaf House,2022-11-11,0.84,16.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Animal Collective - Leaf House', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/VPWR98JCCRE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Animal Collective - Leaf House""></iframe>', 'author_name': 'Fatcat Records', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/VPWR98JCCRE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/Fatcatrecords'}}",Animal Collective,Leaf House,Animal Collective,Leaf House,"experimental pop, folk",youtube,,https://www.youtube.com/watch?v=VPWR98JCCRE,VPWR98JCCRE,,,,Animal Collective - Leaf House,Fatcat Records,2012-05-01T10:25:00Z,PT2M45S,496830,https://i.ytimg.com/vi/VPWR98JCCRE/hqdefault.jpg,5074,232,"['Animal Collective', 'Leaf House', 'FatCat records', 'Fat Cat Records', 'Fat Cat', 'FatCat', 'Fatcat Recordings', 'Fat Cat Recordings', 'experimental', 'indie', 'freak folk', 'folk', 'indie rock', 'Panda Bear', 'Sung Tongs', 'Joshua Dibb', 'Noah Lennox', 'David Portner', 'Brian Weitz', 'psychedelic', 'rock', 'pop', 'Alternative Rock County']",497K,5.07K,232,02:45,2012-05-01,16
Bread and Butter - YUH-UTSU [Japanese alternative/City Pop] (1979),YUH-UTSU,2022-11-08,0.84,15.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'YUH-UTSU', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/enk4QrqwT-M?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""YUH-UTSU""></iframe>', 'author_name': 'Bread And Butter - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/enk4QrqwT-M/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCdFkkdnnqR_Lyyf_zbAqzjQ'}}",Bread and Butter,YUH-UTSU,YUH,UTSU,"japanese alternative, city pop",youtube,,https://www.youtube.com/watch?v=enk4QrqwT-M,enk4QrqwT-M,,,,YUH-UTSU,Bread And Butter - Topic,2020-05-28T10:09:53Z,PT3M18S,1896,https://i.ytimg.com/vi/enk4QrqwT-M/hqdefault.jpg,27,0,"['Bread And Butter', 'ブレッド & バター', 'ブレッドアンドバター', 'Late Late Summer', 'YUH-UTSU']",1.9K,27,0,03:18,2020-05-28,15
Radio Birdman - Murder City Nights [Punk Rock] (1977),Murder City Nights,2022-11-12,0.73,15.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'Murder City Nights', 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/PZkfG5oTyoI?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Murder City Nights""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'version': '1.0', 'author_name': 'Radio Birdman - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/PZkfG5oTyoI/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCfSmTkYZWJTr2LDRKJGEOZA'}, 'type': 'youtube.com'}",Radio Birdman,Murder City Nights,,,punk rock,youtube,,https://www.youtube.com/watch?v=PZkfG5oTyoI,PZkfG5oTyoI,,,,Murder City Nights,Radio Birdman - Topic,2017-11-20T01:16:34Z,PT2M24S,15898,https://i.ytimg.com/vi/PZkfG5oTyoI/hqdefault.jpg,178,0,"['Radio', 'Birdman', 'Radios', 'Appear', 'Murder', 'City', 'Nights']",15.9K,178,0,02:24,2017-11-20,15
"LANNDS - Overseas/BACK 2 U [indie, psych] (2022)","LANNDS - ""Overseas/BACK 2 U"" (Official Music Video)",2022-11-09,0.72,14.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'LANNDS - ""Overseas/BACK 2 U"" (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/wYw1hbtzrls?start=7&feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""LANNDS - &quot;Overseas/BACK 2 U&quot; (Official Music Video)""></iframe>', 'author_name': 'LANNDS', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/wYw1hbtzrls/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCAP-byHEEv_tCbYg2XK_K8A'}}",LANNDS,Overseas/BACK 2 U,LANNDS,Overseas/BACK 2 U,"indie, psych",youtube,,https://www.youtube.com/watch?v=wYw1hbtzrls,wYw1hbtzrls,,,,"LANNDS - ""Overseas/BACK 2 U"" (Official Music Video)",LANNDS,2022-11-09T16:00:32Z,PT4M40S,321,https://i.ytimg.com/vi/wYw1hbtzrls/hqdefault.jpg,14,1,,321,14,1,04:40,2022-11-09,14
Tailwind - Pilgrim [Psych Rock] (2022),Tailwind - Pilgrim,2022-11-11,0.75,14.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'Tailwind - Pilgrim', 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/PZKvKWE2zGA?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Tailwind - Pilgrim""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'version': '1.0', 'author_name': 'Tailwind Music', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/PZKvKWE2zGA/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/@tailwindtheband'}, 'type': 'youtube.com'}",Tailwind,Pilgrim,Tailwind,Pilgrim,psych rock,youtube,,https://www.youtube.com/watch?v=PZKvKWE2zGA,PZKvKWE2zGA,,,,Tailwind - Pilgrim,Tailwind Music,2022-11-10T23:50:32Z,PT6M1S,534,https://i.ytimg.com/vi/PZKvKWE2zGA/hqdefault.jpg,38,2,,534,38,2,06:01,2022-11-10,14
Surfaris - Wipe Out [Rock],Surfaris - Wipe Out,2022-11-11,0.99,13.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Surfaris - Wipe Out', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/p13yZAjhU0M?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Surfaris - Wipe Out""></iframe>', 'author_name': 'Chris Gladbach', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/p13yZAjhU0M/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/iloverock117'}}",Surfaris,Wipe Out,Surfaris,Wipe Out,rock,youtube,,https://www.youtube.com/watch?v=p13yZAjhU0M,p13yZAjhU0M,,,,Surfaris - Wipe Out,Chris Gladbach,2010-02-27T00:34:04Z,PT2M47S,13907053,https://i.ytimg.com/vi/p13yZAjhU0M/hqdefault.jpg,109151,4941,"['Surfaris', 'Wipeout', 'Wipe', 'out']",13.9M,109K,4.94K,02:47,2010-02-27,13
Scaller -- Inside My Head [alt rock] (2022),SCALLER - Inside My Head (Official Music Video),2022-11-10,0.8,13.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'SCALLER - Inside My Head (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/GHf0MsT0WT8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""SCALLER - Inside My Head (Official Music Video)""></iframe>', 'author_name': 'ScallerMusic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/GHf0MsT0WT8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/ScallerMusic'}}",Scaller,Inside My Head,SCALLER,Inside My Head,alt rock,youtube,,https://www.youtube.com/watch?v=GHf0MsT0WT8,GHf0MsT0WT8,,,,SCALLER - Inside My Head (Official Music Video),ScallerMusic,2022-10-05T06:00:03Z,PT3M16S,11422,https://i.ytimg.com/vi/GHf0MsT0WT8/hqdefault.jpg,663,96,"['SCALLER', 'Stella Gareth', 'Reney Karamoy', 'Inside My Head', 'Golden Robot Records', 'Music Video']",11.4K,663,96,03:16,2022-10-05,13
SERBIA - No Duele Llorar [Latin Rock] (2022),SERBIA - No Duele Llorar (VIDEO OFICIAL),2022-11-08,0.68,12.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'SERBIA - No Duele Llorar (VIDEO OFICIAL)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/ZJSkg3roy1M?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""SERBIA - No Duele Llorar (VIDEO OFICIAL)""></iframe>', 'author_name': 'Serbia MX', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ZJSkg3roy1M/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/SerbiaMX'}}",SERBIA,No Duele Llorar,SERBIA,No Duele Llorar,latin rock,youtube,,https://www.youtube.com/watch?v=ZJSkg3roy1M,ZJSkg3roy1M,,,,SERBIA - No Duele Llorar (VIDEO OFICIAL),Serbia MX,2022-08-19T05:00:08Z,PT3M53S,177217,https://i.ytimg.com/vi/ZJSkg3roy1M/hqdefault.jpg,16040,503,,177K,16K,503,03:53,2022-08-19,12
