r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link_x,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,track_id,sp_song,sp_artist,id,sp_link_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_genres,sp_artist_popularity,sp_follower_count
Peej -- These Walls [OPM/indie] (2022),These Walls - Peej (Official Music Video),2022-12-04,0.67,5.0,Peej,These Walls,These Walls,Peej,"opm, indie",youtube,,https://www.youtube.com/watch?v=Ry9obA3b0lM,Ry9obA3b0lM,,,,,These Walls,Peej,5bkX5dYcVBS09Tg6vmVD7w,,0.618,0.776,9.0,-7.135,0.0,0.028,0.122,0.0966,0.108,0.255,129.929,audio_features,spotify:track:5bkX5dYcVBS09Tg6vmVD7w,https://api.spotify.com/v1/tracks/5bkX5dYcVBS09Tg6vmVD7w,https://api.spotify.com/v1/audio-analysis/5bkX5dYcVBS09Tg6vmVD7w,298000.0,4.0,https://i.scdn.co/image/ab67616d0000b2736d5c8779976c357ad66ea19c,2022-11-25,2022.0,False,33.0,https://p.scdn.co/mp3-preview/978fb0878aea4fe17a0f80d3b30adb73b133c555?cid=484c8fc1e0c54669ac770f80991a8280,'detroit trap',61,106657
MSPaint - Acid [synth-punk/hardcore] (2022),MSPAINT - ACID,2022-12-03,0.78,5.0,MSPaint,Acid,MSPAINT,ACID,"synth-punk, hardcore",youtube,,https://www.youtube.com/watch?v=-mBLAQDSl5o,-mBLAQDSl5o,,,,,Acid,MSPAINT,3DRLXDqJVGJJgMMCX5uD9w,,0.401,0.938,6.0,-3.801,0.0,0.0672,0.000204,0.0,0.424,0.246,88.996,audio_features,spotify:track:3DRLXDqJVGJJgMMCX5uD9w,https://api.spotify.com/v1/tracks/3DRLXDqJVGJJgMMCX5uD9w,https://api.spotify.com/v1/audio-analysis/3DRLXDqJVGJJgMMCX5uD9w,165359.0,4.0,https://i.scdn.co/image/ab67616d0000b273278fdcbf3a44a651f1b5e7b2,2022-10-11,2022.0,False,30.0,https://p.scdn.co/mp3-preview/0366f13d102a3818f6de4261684a20f860065131?cid=484c8fc1e0c54669ac770f80991a8280,'modern hardcore',24,2269
Something's Cursed -- Cigarettes & Therapy [Alternative/Punk Rock] (2022),Cigarettes & Therapy,2022-12-02,0.74,5.0,Somethings Cursed,Cigarettes & Therapy,,,"alternative, punk rock",youtube,,https://www.youtube.com/watch?v=e4h6W3Jjv8E,e4h6W3Jjv8E,,,,,Cigarettes & Therapy,Something's Cursed,3uQ70rffAkq7SsHTWJ89p2,,0.268,0.868,10.0,-7.634,0.0,0.0758,0.00157,0.0018,0.114,0.649,173.018,audio_features,spotify:track:3uQ70rffAkq7SsHTWJ89p2,https://api.spotify.com/v1/tracks/3uQ70rffAkq7SsHTWJ89p2,https://api.spotify.com/v1/audio-analysis/3uQ70rffAkq7SsHTWJ89p2,212966.0,4.0,https://i.scdn.co/image/ab67616d0000b2730a3998e6af3180a23d28f5b9,2022-11-23,2022.0,True,9.0,https://p.scdn.co/mp3-preview/7bc02f86e4e9aaa00228779242aa7177f8cd1830?cid=484c8fc1e0c54669ac770f80991a8280,,5,93
Hunted By Elephants -- Hazy Eyes [Classic Rock] (2022),Hunted By Elephants - Hazy Eyes (Official Music Video),2022-12-05,0.7,5.0,Hunted By Elephants,Hazy Eyes,Hunted By Elephants,Hazy Eyes,classic rock,youtube,,https://www.youtube.com/watch?v=JdI0fb01bQg,JdI0fb01bQg,,,,,Hazy Eyes,Hunted by Elephants,4O8xzrQICHYlEGEobU6j0P,,0.326,0.895,7.0,-5.749,1.0,0.0705,8.23e-05,0.00025,0.27,0.547,148.01,audio_features,spotify:track:4O8xzrQICHYlEGEobU6j0P,https://api.spotify.com/v1/tracks/4O8xzrQICHYlEGEobU6j0P,https://api.spotify.com/v1/audio-analysis/4O8xzrQICHYlEGEobU6j0P,214623.0,4.0,https://i.scdn.co/image/ab67616d0000b273c64c2d642042e1e0a34e00e1,2022-09-16,2022.0,False,19.0,https://p.scdn.co/mp3-preview/58191a830b26a4950c09dc08e3aa98b19fa210db?cid=484c8fc1e0c54669ac770f80991a8280,,5,355
GravityGun - DYAD [Electronic/Funk] (2020),GravityGun - DYAD (Music Video),2022-12-05,0.64,5.0,GravityGun,DYAD,GravityGun,DYAD,"electronic, funk",youtube,,https://www.youtube.com/watch?v=qEnZKLdE14M,qEnZKLdE14M,,,,,DYAD,GravityGun,49hpm2Gmge5R4NyOfo8eqM,,0.773,0.532,4.0,-9.627,0.0,0.0274,0.734,0.136,0.421,0.832,107.006,audio_features,spotify:track:49hpm2Gmge5R4NyOfo8eqM,https://api.spotify.com/v1/tracks/49hpm2Gmge5R4NyOfo8eqM,https://api.spotify.com/v1/audio-analysis/49hpm2Gmge5R4NyOfo8eqM,207679.0,4.0,https://i.scdn.co/image/ab67616d0000b273e2f0d74155a38e95fb36fa66,2020-09-18,2020.0,False,7.0,https://p.scdn.co/mp3-preview/cb7c5f26cf9793d79a2fa775771e4703bc4d740d?cid=484c8fc1e0c54669ac770f80991a8280,,2,285
"Lalalar -- Yamyam [psychedelic, Turkish] (2022)",Lalalar - Yamyam,2022-12-04,0.73,5.0,Lalalar,Yamyam,Lalalar,Yamyam,"psychedelic, turkish",youtube,,https://www.youtube.com/watch?v=1U2iKrnFLPE,1U2iKrnFLPE,,,,,Yamyam,Lalalar,2L5j10mmL8WF3VnSmEzAnH,,0.657,0.493,7.0,-10.068,1.0,0.0627,0.0234,0.778,0.567,0.593,109.013,audio_features,spotify:track:2L5j10mmL8WF3VnSmEzAnH,https://api.spotify.com/v1/tracks/2L5j10mmL8WF3VnSmEzAnH,https://api.spotify.com/v1/audio-analysis/2L5j10mmL8WF3VnSmEzAnH,297802.0,4.0,https://i.scdn.co/image/ab67616d0000b273936c0ae4d5b12bc27f6fb043,2022-05-06,2022.0,False,27.0,https://p.scdn.co/mp3-preview/5001c6623b1cacaba9e433368c0cf86deb4786a8?cid=484c8fc1e0c54669ac770f80991a8280,'turkish psych',38,35502
The Little Dippers - Forever [Pop] (1960),1960 HITS ARCHIVE: Forever - Little Dippers (hit mono 45 single version),2022-12-04,0.67,5.0,The Little Dippers,Forever,1960 HITS ARCHIVE: Forever,Little Dippers,pop,youtube,,https://www.youtube.com/watch?v=T_CqwTQzs2o,T_CqwTQzs2o,,,,,Forever - Single Version,The Little Dippers,5rWyKJMaTXL0TArnJ8IGts,,0.519,0.45,5.0,-9.133,1.0,0.0244,0.281,6.12e-06,0.152,0.549,72.115,audio_features,spotify:track:5rWyKJMaTXL0TArnJ8IGts,https://api.spotify.com/v1/tracks/5rWyKJMaTXL0TArnJ8IGts,https://api.spotify.com/v1/audio-analysis/5rWyKJMaTXL0TArnJ8IGts,143161.0,4.0,https://i.scdn.co/image/ab67616d0000b2735ac908d1247d38d2dc0aaac0,1968-06-08,1968.0,False,60.0,https://p.scdn.co/mp3-preview/cda4ff339f0aa5cead4ece0dee982e1c589105ae?cid=484c8fc1e0c54669ac770f80991a8280,,43,2605
Annie Hamilton -- Night Off [indie pop / dream pop] (2022),annie hamilton - night off (official video),2022-12-03,0.86,5.0,Annie Hamilton,Night Off,annie hamilton,night off,"indie pop, dream pop",youtube,,https://www.youtube.com/watch?v=wWgEI6f-OcY,wWgEI6f-OcY,,,,,Night Off,Annie Hamilton,5atct8DizxVZESRdtTOT9t,,0.473,0.779,6.0,-6.25,1.0,0.0336,0.000288,0.215,0.0848,0.46,79.934,audio_features,spotify:track:5atct8DizxVZESRdtTOT9t,https://api.spotify.com/v1/tracks/5atct8DizxVZESRdtTOT9t,https://api.spotify.com/v1/audio-analysis/5atct8DizxVZESRdtTOT9t,200250.0,4.0,https://i.scdn.co/image/ab67616d0000b27307dfae19148a0c435e053c2e,2022-05-20,2022.0,False,22.0,https://p.scdn.co/mp3-preview/d4a2233e7c329510a5789a0baae4a29c88673978?cid=484c8fc1e0c54669ac770f80991a8280,'modern dream pop',29,4374
Paul Clayton - Who's Gonna Buy You Ribbons [Folk] (1959),Paul Clayton - Who's Gonna Buy You Ribbons (When I'm Gone),2022-12-02,1.0,5.0,Paul Clayton,Whos Gonna Buy You Ribbons,Paul Clayton,Whos Gonna Buy You Ribbons,folk,youtube,,https://www.youtube.com/watch?v=dTZ_hMiI8Tg,dTZ_hMiI8Tg,,,,,Who's Gonna Buy You Ribbons,Paul Clayton,3q1Bx4GURmhkVafAtU5tOQ,,0.448,0.175,7.0,-13.638,1.0,0.0448,0.938,0.0406,0.191,0.324,61.328,audio_features,spotify:track:3q1Bx4GURmhkVafAtU5tOQ,https://api.spotify.com/v1/tracks/3q1Bx4GURmhkVafAtU5tOQ,https://api.spotify.com/v1/audio-analysis/3q1Bx4GURmhkVafAtU5tOQ,174680.0,4.0,https://i.scdn.co/image/ab67616d0000b27313d3a63c13785fdce5cbd00a,1960-01-01,1960.0,False,35.0,https://p.scdn.co/mp3-preview/3a574cdd6b219bdcfbe01de8d410671dd0e4d3c3?cid=484c8fc1e0c54669ac770f80991a8280,"'american folk revival', 'appalachian folk', 'folk', 'old-time', 'shanty', 'traditional folk'",25,2772
"Mykel Costa, Hardy Nimi, Cali P — Nah Leggo [Afrobeats] (2022)",Mykel Costa - Nah Leggo feat. Hardy Nimi & Cali P (Official Video),2022-12-02,0.73,5.0,"Mykel Costa, Hardy Nimi, Cali P",Nah Leggo,Mykel Costa,Nah Leggo feat. Hardy Nimi & Cali P,afrobeats,youtube,,https://www.youtube.com/watch?v=vxynU6n1lks,vxynU6n1lks,,,,,Nah Leggo (feat. Hardy Nimi & Cali P),MYKEL COSTA,5V2ZHL4sr7V79unLk57zKq,,0.903,0.682,7.0,-5.972,0.0,0.133,0.036,0.000102,0.159,0.543,105.037,audio_features,spotify:track:5V2ZHL4sr7V79unLk57zKq,https://api.spotify.com/v1/tracks/5V2ZHL4sr7V79unLk57zKq,https://api.spotify.com/v1/audio-analysis/5V2ZHL4sr7V79unLk57zKq,194386.0,4.0,https://i.scdn.co/image/ab67616d0000b27339cc7b4b06e59c4b5578d52f,2022-11-25,2022.0,False,27.0,https://p.scdn.co/mp3-preview/547651179249ecf2eb03cf5de23e7368994195ac?cid=484c8fc1e0c54669ac770f80991a8280,,16,217
