r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link_x,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,track_id,sp_song,sp_artist,id,sp_link_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_genres,sp_artist_popularity,sp_follower_count
Turquoise Feeling - Remember (Memento) [Garage Punk] (2016),Remember (Memento),2022-12-03,0.86,5.0,Turquoise Feeling,Remember,,,garage punk,youtube,,https://www.youtube.com/watch?v=jIsilX6dggk,jIsilX6dggk,,,,,Remember (Memento),Turquoise Feeling,39lm0xFDtvpPrbIiFjPune,,0.328,0.941,0.0,-4.398,1.0,0.0517,0.0356,0.913,0.886,0.309,93.497,audio_features,spotify:track:39lm0xFDtvpPrbIiFjPune,https://api.spotify.com/v1/tracks/39lm0xFDtvpPrbIiFjPune,https://api.spotify.com/v1/audio-analysis/39lm0xFDtvpPrbIiFjPune,88375.0,4.0,https://i.scdn.co/image/ab67616d0000b27330c916acd24a2c6666134565,2016-01-01,2016.0,False,1.0,https://p.scdn.co/mp3-preview/7aa8fdea3f8abd3455bc8b9d2616064e0afa0c5e?cid=484c8fc1e0c54669ac770f80991a8280,,0,1
Robert le Magnifique - Reulf [electronic/experimental] (2008),Reulf - Robert le Magnifique,2022-12-02,0.74,5.0,Robert le Magnifique,Reulf,Reulf,Robert le Magnifique,"electronic, experimental",youtube,,https://www.youtube.com/watch?v=Kuo0rNGLNFQ,Kuo0rNGLNFQ,,,,,Robert Le Magnifique (Yuri's Porthole Remix),"Zenzile,Robert Le Magnifique",6HeVXHeHikQMMjfPUb7w7u,,0.731,0.769,2.0,-6.981,1.0,0.0628,0.0442,0.572,0.0883,0.687,110.017,audio_features,spotify:track:6HeVXHeHikQMMjfPUb7w7u,https://api.spotify.com/v1/tracks/6HeVXHeHikQMMjfPUb7w7u,https://api.spotify.com/v1/audio-analysis/6HeVXHeHikQMMjfPUb7w7u,270954.0,4.0,https://i.scdn.co/image/ab67616d0000b2737f4ee753ecd3e09bffb0597c,2013-12-13,2013.0,False,1.0,https://p.scdn.co/mp3-preview/5bb3e5fd780b386ea53badb836443a32d026f860?cid=484c8fc1e0c54669ac770f80991a8280,,0,1
GosT - Arise (featuring Kriistal Ann) - Non Paradisi [Synth/Retro/Electronic] (2016),"GosT - ""Arise (feat. Kriistal Ann)"" [""Non Paradisi"" - Official - 2016]",2022-12-02,0.83,4.0,GosT,Arise,GosT,Arise,"synth, retro, electronic",youtube,,https://www.youtube.com/watch?v=D_l7eKorkfI,D_l7eKorkfI,,,,,Arise (feat. Kriistal Ann),Gost,37NReRlDbDxMWP6bpnIRVd,,0.68,0.933,4.0,-2.828,1.0,0.0448,0.000657,0.716,0.223,0.107,103.014,audio_features,spotify:track:37NReRlDbDxMWP6bpnIRVd,https://api.spotify.com/v1/tracks/37NReRlDbDxMWP6bpnIRVd,https://api.spotify.com/v1/audio-analysis/37NReRlDbDxMWP6bpnIRVd,374040.0,4.0,https://i.scdn.co/image/ab67616d0000b2734f87adf482c4cc0505450f39,2016-09-30,2016.0,False,30.0,https://p.scdn.co/mp3-preview/c8fee529dc3510e27070376652612201a2d34a0b?cid=484c8fc1e0c54669ac770f80991a8280,"'dark clubbing', 'synthwave'",43,61373
Rat Boy/IBDY - Who's Ready for Tomorrow [Alternative Rock/Soundtrack],CYBERPUNK 2077 SOUNDTRACK - WHO'S READY FOR TOMORROW by Rat Boy & IBDY (Official Video),2022-12-05,0.75,4.0,Rat Boy/IBDY,Whos Ready for Tomorrow,CYBERPUNK 2077 SOUNDTRACK,WHOS READY FOR TOMORROW by Rat Boy & IBDY,"alternative rock, soundtrack",youtube,,https://www.youtube.com/watch?v=jLXTBbMRxK8,jLXTBbMRxK8,,,,,Who's Ready for Tomorrow,RAT BOY,4mn5HdatHKN7iFGDes9G8i,,0.751,0.74,9.0,-6.016,1.0,0.045,0.152,5.75e-05,0.0873,0.788,138.066,audio_features,spotify:track:4mn5HdatHKN7iFGDes9G8i,https://api.spotify.com/v1/tracks/4mn5HdatHKN7iFGDes9G8i,https://api.spotify.com/v1/audio-analysis/4mn5HdatHKN7iFGDes9G8i,116161.0,4.0,https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb,2020-12-18,2020.0,False,75.0,https://p.scdn.co/mp3-preview/28f2e93b03e2e5be8809c3cdc96bda45e3f517c6?cid=484c8fc1e0c54669ac770f80991a8280,'english indie rock',58,99895
Cruachan -- The Crow [Irish Folk / Pagan Metal] (2022),Cruachan - The Crow (Official Music Video),2022-12-02,0.83,4.0,Cruachan,The Crow,Cruachan,The Crow,"irish folk, pagan metal",youtube,,https://www.youtube.com/watch?v=pW8uG7CeciQ,pW8uG7CeciQ,,,,,The Crow,Cruachan,0o9yFJgoYdzqZrKbKXwsVZ,,0.208,0.927,7.0,-4.6,0.0,0.0493,0.000675,0.145,0.228,0.294,95.513,audio_features,spotify:track:0o9yFJgoYdzqZrKbKXwsVZ,https://api.spotify.com/v1/tracks/0o9yFJgoYdzqZrKbKXwsVZ,https://api.spotify.com/v1/audio-analysis/0o9yFJgoYdzqZrKbKXwsVZ,326597.0,4.0,https://i.scdn.co/image/ab67616d0000b2739d7125f993d370627d115d8b,2022-11-25,2022.0,False,30.0,https://p.scdn.co/mp3-preview/263beb9c128a1585f27fd0eb68e84155a77e49cf?cid=484c8fc1e0c54669ac770f80991a8280,"'celtic metal', 'celtic rock', 'folk black metal', 'folk metal', 'irish black metal', 'irish metal', 'viking metal'",30,38095
JIMEK - Polish Hiphop history orchestradted [instrumental hip-hop] (2022),yes. we DO have hip-hop culture in Poland. POLSKI Hip-hop History Orchestrated by JIMEK,2022-12-05,0.83,4.0,JIMEK,Polish Hiphop history orchestradted,yes. we DO have hip,hop culture in Poland. POLSKI Hip-hop History Orchestrated by JIMEK,instrumental hip hop,youtube,,https://www.youtube.com/watch?v=OqN2ArQCC8Y,OqN2ArQCC8Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'brill building pop',62,379777
The Silversound -- Shaker [psychedelic] (2022),The Silversound - Shaker,2022-12-02,0.84,4.0,The Silversound,Shaker,The Silversound,Shaker,psychedelic,youtube,,https://www.youtube.com/watch?v=DBd0BZrYySw,DBd0BZrYySw,,,,,Shaker,The Silversound,4eCitb0k4UxJaIl1Ww9yta,,0.372,0.857,4.0,-7.64,1.0,0.0767,0.0285,0.529,0.257,0.853,187.021,audio_features,spotify:track:4eCitb0k4UxJaIl1Ww9yta,https://api.spotify.com/v1/tracks/4eCitb0k4UxJaIl1Ww9yta,https://api.spotify.com/v1/audio-analysis/4eCitb0k4UxJaIl1Ww9yta,463427.0,4.0,https://i.scdn.co/image/ab67616d0000b2734e932171b20333626b494cd4,2022-11-24,2022.0,False,2.0,https://p.scdn.co/mp3-preview/875126fb246e234712cdee5e02483249c7e0de10?cid=484c8fc1e0c54669ac770f80991a8280,,0,10
Barkmarket -- I Drown [rock] (1994),I Drown,2022-12-06,0.75,4.0,Barkmarket,I Drown,,,rock,youtube,,https://www.youtube.com/watch?v=IyfXU2bYXzY,IyfXU2bYXzY,,,,,I Drown,Barkmarket,1kFA36SHUlOAlq0rPm3cVY,,0.324,0.888,9.0,-9.544,1.0,0.0982,0.00129,0.000242,0.137,0.67,166.901,audio_features,spotify:track:1kFA36SHUlOAlq0rPm3cVY,https://api.spotify.com/v1/tracks/1kFA36SHUlOAlq0rPm3cVY,https://api.spotify.com/v1/audio-analysis/1kFA36SHUlOAlq0rPm3cVY,217653.0,4.0,https://i.scdn.co/image/ab67616d0000b27339563d33ecfc2553f4c7a1b0,1994-01-01,1994.0,False,3.0,,"'noise punk', 'post-hardcore'",11,4107
Brewer's Row -- In the Ether [Indie Rock](2008),Brewer's Row - In the Ether,2022-12-03,1.0,4.0,Brewers Row,In the Ether,,,indie rock,youtube,,https://www.youtube.com/watch?v=jZjt5gU0X0U,jZjt5gU0X0U,,,,,In the Ether,Brewer's Row,673mAPN1qibzk4joyZjC6I,,0.305,0.372,4.0,-8.81,1.0,0.0269,0.197,0.00352,0.0918,0.213,87.761,audio_features,spotify:track:673mAPN1qibzk4joyZjC6I,https://api.spotify.com/v1/tracks/673mAPN1qibzk4joyZjC6I,https://api.spotify.com/v1/audio-analysis/673mAPN1qibzk4joyZjC6I,397987.0,3.0,https://i.scdn.co/image/ab67616d0000b273a5848de7d11400a25bf9adab,2008-01-01,2008.0,False,0.0,https://p.scdn.co/mp3-preview/30377c847f2c61213321a9964a1b570cbd20eae5?cid=484c8fc1e0c54669ac770f80991a8280,'pittsburgh indie',0,62
Other Half -- Jollies With The Boys [Indie Rock/Punk] (2022),Jollies with the Boys,2022-12-06,0.75,4.0,Other Half,Jollies With The Boys,,,"indie rock, punk",youtube,,https://www.youtube.com/watch?v=zRkwRs3mXHc,zRkwRs3mXHc,,,,,Jollies with the Boys,Other Half,5H8i4qY5Gzf2MSMsdZAdFY,,0.243,0.91,11.0,-7.833,1.0,0.0618,0.000108,0.0019,0.235,0.416,78.977,audio_features,spotify:track:5H8i4qY5Gzf2MSMsdZAdFY,https://api.spotify.com/v1/tracks/5H8i4qY5Gzf2MSMsdZAdFY,https://api.spotify.com/v1/audio-analysis/5H8i4qY5Gzf2MSMsdZAdFY,184588.0,4.0,https://i.scdn.co/image/ab67616d0000b27310e7df877ab6d525789a8940,2022-12-02,2022.0,False,18.0,https://p.scdn.co/mp3-preview/546bca58b2de2e4cbb1bfd5089a249273f534cbb?cid=484c8fc1e0c54669ac770f80991a8280,,17,822
PUPAJIM - AMPLIFIER [reggae dub] (2010),PUPAJIM / STAND HIGH PATROL - AMPLIFIER (STAND HIGH RECORD),2022-12-06,0.68,4.0,PUPAJIM,AMPLIFIER,PUPAJIM / STAND HIGH PATROL,AMPLIFIER,reggae dub,youtube,,https://www.youtube.com/watch?v=XoNtqt71Hc0,XoNtqt71Hc0,,,,,Amplifier,Pupajim,1PgiG7Wzxl8jf2CENwGzQY,,0.635,0.294,11.0,-11.542,0.0,0.863,0.0466,1.15e-06,0.0483,0.272,78.548,audio_features,spotify:track:1PgiG7Wzxl8jf2CENwGzQY,https://api.spotify.com/v1/tracks/1PgiG7Wzxl8jf2CENwGzQY,https://api.spotify.com/v1/audio-analysis/1PgiG7Wzxl8jf2CENwGzQY,208376.0,4.0,https://i.scdn.co/image/ab67616d0000b273ab47e0251e949a7c38a228dc,2010-10-08,2010.0,False,39.0,https://p.scdn.co/mp3-preview/ecf0ed08570a0e086ce382c8f3a2271c1375ca99?cid=484c8fc1e0c54669ac770f80991a8280,"'french dub', 'french reggae'",42,69319
"Empty Country - Marian [Heartland rock, emo] (2020)",Empty Country - Marian,2022-12-04,0.83,4.0,Empty Country,Marian,Empty Country,Marian,"heartland rock, emo",youtube,,https://www.youtube.com/watch?v=5JKXrDH4Vl0,5JKXrDH4Vl0,,,,,Marian,Empty Country,2Eq370kNqjU5GjDUmaT0bJ,,0.572,0.457,5.0,-7.884,1.0,0.0261,0.00738,0.000124,0.264,0.207,103.043,audio_features,spotify:track:2Eq370kNqjU5GjDUmaT0bJ,https://api.spotify.com/v1/tracks/2Eq370kNqjU5GjDUmaT0bJ,https://api.spotify.com/v1/audio-analysis/2Eq370kNqjU5GjDUmaT0bJ,365631.0,4.0,https://i.scdn.co/image/ab67616d0000b273d4153ffc2a6cec8ef452ecfb,2020-03-20,2020.0,False,21.0,https://p.scdn.co/mp3-preview/3be7f77a8548832aec312ef6cf472a5ef71f0a23?cid=484c8fc1e0c54669ac770f80991a8280,,11,3716
main* -- Really Want To See You Again [indie/rock] (2022),more* - Really Want To See You Again (Official Music Video),2022-12-06,0.75,4.0,main*,Really Want To See You Again,more*,Really Want To See You Again,"indie, rock",youtube,,https://www.youtube.com/watch?v=3dny9-t92Sg,3dny9-t92Sg,,,,,Really Want to See You Again,more*,7z5v8TAMxPtBgWaIlAyqri,,0.739,0.912,6.0,-3.298,1.0,0.0308,0.0162,0.0673,0.158,0.951,108.604,audio_features,spotify:track:7z5v8TAMxPtBgWaIlAyqri,https://api.spotify.com/v1/tracks/7z5v8TAMxPtBgWaIlAyqri,https://api.spotify.com/v1/audio-analysis/7z5v8TAMxPtBgWaIlAyqri,237416.0,4.0,https://i.scdn.co/image/ab67616d0000b2736b0a025b54000599e71a1da3,2022-03-11,2022.0,False,38.0,https://p.scdn.co/mp3-preview/51321737c0f233ea1f99b0d9ea7d333503dcf3ee?cid=484c8fc1e0c54669ac770f80991a8280,"'contemporary country', 'country'",84,4426697
Rehab - Bartender song [Hip-Rock],Rehab - Bartender (Dirty Official Video),2022-12-07,0.74,4.0,Rehab,Bartender song,Rehab,Bartender,hip-rock,youtube,,https://www.youtube.com/watch?v=PQMoH7hMx_g,PQMoH7hMx_g,,,,,Bartender Song (Sittin' At A Bar) - Alt/Rock Mix,Rehab,1gewemPOUilb21s7CfMS55,,0.667,0.673,4.0,-6.006,1.0,0.0536,0.117,0.0,0.343,0.706,151.834,audio_features,spotify:track:1gewemPOUilb21s7CfMS55,https://api.spotify.com/v1/tracks/1gewemPOUilb21s7CfMS55,https://api.spotify.com/v1/audio-analysis/1gewemPOUilb21s7CfMS55,229040.0,4.0,https://i.scdn.co/image/ab67616d0000b273849e5870ecd098e9996688a0,2005-01-01,2005.0,True,64.0,,"'rap rock', 'redneck'",53,287154
Irving Kaufman -- Masculine Women! Feminine Men! [Jazz] (1926),"Irving Kaufman ""Masculine Women! Feminine Men!"" LYRICS 1926 comic gender song hard to tell 'em apart",2022-12-05,0.67,4.0,Irving Kaufman,Masculine Women! Feminine Men!,Irving Kaufman,Masculine Women! Feminine Men!,jazz,youtube,,https://www.youtube.com/watch?v=JXqAwFcwKMg,JXqAwFcwKMg,,,,,Masculine Women! Feminine Men!,Irving Kaufman,7zziAl5JLJkblDYls4YWBr,,0.575,0.327,2.0,-9.988,1.0,0.137,0.985,1.25e-05,0.469,0.909,205.995,audio_features,spotify:track:7zziAl5JLJkblDYls4YWBr,https://api.spotify.com/v1/tracks/7zziAl5JLJkblDYls4YWBr,https://api.spotify.com/v1/audio-analysis/7zziAl5JLJkblDYls4YWBr,179587.0,4.0,https://i.scdn.co/image/ab67616d0000b27325ddd45ac1e652deaec7bbce,1914-06-03,1914.0,False,30.0,https://p.scdn.co/mp3-preview/08ac78c4d02e833ef35032053cb8b507cafaa4a2?cid=484c8fc1e0c54669ac770f80991a8280,'vintage jazz',15,326
Rise Against - The Unraveling [Hardcore Punk],The Unraveling,2022-12-05,0.67,4.0,Rise Against,The Unraveling,,,hardcore punk,youtube,,https://www.youtube.com/watch?v=JF4andm9Ghg,JF4andm9Ghg,,,,,The Unraveling,Rise Against,3KpDcBj5HV6vXRrT5a4BxH,,0.582,0.951,4.0,-3.936,0.0,0.0507,0.000118,0.873,0.11,0.508,125.031,audio_features,spotify:track:3KpDcBj5HV6vXRrT5a4BxH,https://api.spotify.com/v1/tracks/3KpDcBj5HV6vXRrT5a4BxH,https://api.spotify.com/v1/audio-analysis/3KpDcBj5HV6vXRrT5a4BxH,192693.0,3.0,https://i.scdn.co/image/ab67616d0000b2733eeac09aa1b78ddbfbd9798d,2005-08-30,2005.0,False,31.0,https://p.scdn.co/mp3-preview/66453184476859f91b6720f52594ad70d4ffd8a7?cid=484c8fc1e0c54669ac770f80991a8280,"'chicago hardcore', 'chicago punk', 'hardcore punk', 'punk'",70,2556779
White Ward -- Leviathan [Post-Black Metal / Jazz Fusion] (2022),White Ward - Leviathan,2022-12-02,0.84,4.0,White Ward,Leviathan,White Ward,Leviathan,"post-black metal, jazz fusion",youtube,,https://www.youtube.com/watch?v=lPWYcWK8o9g,lPWYcWK8o9g,,,,,Leviathan,White Ward,3GOzg8kz4v8gtk3rdK4IEp,,0.2,0.869,11.0,-6.263,0.0,0.0717,0.000122,0.818,0.1,0.107,94.94,audio_features,spotify:track:3GOzg8kz4v8gtk3rdK4IEp,https://api.spotify.com/v1/tracks/3GOzg8kz4v8gtk3rdK4IEp,https://api.spotify.com/v1/audio-analysis/3GOzg8kz4v8gtk3rdK4IEp,797115.0,4.0,https://i.scdn.co/image/ab67616d0000b2737e35599fabf545bf408983cb,2022-04-29,2022.0,False,34.0,https://p.scdn.co/mp3-preview/73c60a6b0469b11c81db08a6c5aa25f1ce033b82?cid=484c8fc1e0c54669ac770f80991a8280,"'atmospheric black metal', 'blackgaze', 'post-doom metal', 'post-metal', 'ukrainian black metal', 'voidgaze'",34,29026
Nat King Cole - Smile [Jazz],Nat King Cole Smile,2022-12-07,0.8,3.0,Nat King Cole,Smile,,,jazz,youtube,,https://www.youtube.com/watch?v=wfeNnEWiMmw,wfeNnEWiMmw,,,,,Smile,Nat King Cole,1oDCK7PW72XEZ1pE5rh87A,,0.226,0.136,5.0,-19.203,0.0,0.0327,0.862,8.07e-06,0.302,0.263,79.37,audio_features,spotify:track:1oDCK7PW72XEZ1pE5rh87A,https://api.spotify.com/v1/tracks/1oDCK7PW72XEZ1pE5rh87A,https://api.spotify.com/v1/audio-analysis/1oDCK7PW72XEZ1pE5rh87A,173267.0,5.0,https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701,1991-01-01,1991.0,False,65.0,,'adult standards',77,1935941
Kunitake Miyuki - Balance [Hard rock/JP city pop/Eurobeat] (2005),kunicannel♪vol.52『Balance』GuitarFreaks V ＆DrumMania Soundtracks　くにたけみゆき　KONAMI　泉陸奥彦,2022-12-02,0.71,3.0,Kunitake Miyuki,Balance,,,"hard rock, jp city pop, eurobeat",youtube,,https://www.youtube.com/watch?v=D43g3D5cCKE,D43g3D5cCKE,,,,,ミユキ,Milkoi,05H0lCDrtFrvl4hPtTgWRg,,0.552,0.0687,0.0,-16.893,1.0,0.133,0.99,0.894,0.12,0.45,165.043,audio_features,spotify:track:05H0lCDrtFrvl4hPtTgWRg,https://api.spotify.com/v1/tracks/05H0lCDrtFrvl4hPtTgWRg,https://api.spotify.com/v1/audio-analysis/05H0lCDrtFrvl4hPtTgWRg,211091.0,3.0,https://i.scdn.co/image/ab67616d0000b27314dd41e7a295fd156c5ea129,2018-09-30,2018.0,False,47.0,https://p.scdn.co/mp3-preview/8a0dc711bbf5f1a5480237ffcc54199f786c68cb?cid=484c8fc1e0c54669ac770f80991a8280,'kawaii future bass',42,44380
Riikira -- Thanks for the Cracks [Digital Hardcore] (2020),Riikira - Thanks for the Cracks,2022-12-06,0.6,3.0,Riikira,Thanks for the Cracks,Riikira,Thanks for the Cracks,digital hardcore,youtube,,https://www.youtube.com/watch?v=d8gow0LiGOo,d8gow0LiGOo,,,,,Thanks for the Cracks,Riikira,4bzEczLJqSSRazOWEzlpf9,,0.556,0.964,4.0,-4.302,0.0,0.0926,0.0123,0.389,0.109,0.436,100.012,audio_features,spotify:track:4bzEczLJqSSRazOWEzlpf9,https://api.spotify.com/v1/tracks/4bzEczLJqSSRazOWEzlpf9,https://api.spotify.com/v1/audio-analysis/4bzEczLJqSSRazOWEzlpf9,309643.0,4.0,https://i.scdn.co/image/ab67616d0000b2738c22e2fa8e9f1d0702579049,2020-12-30,2020.0,False,2.0,https://p.scdn.co/mp3-preview/c9ef523c84f8a9607ec64814244f38740d19ff95?cid=484c8fc1e0c54669ac770f80991a8280,,5,344
The Chi Lites - Oh Girl [Soul],The Chi Lites Oh Girl,2022-12-07,0.8,3.0,The Chi Lites,Oh Girl,,,soul,youtube,,https://www.youtube.com/watch?v=lajHqaQfTAU,lajHqaQfTAU,,,,,Oh Girl,The Chi-Lites,0cFlXjTxFdMGGPfLVpt3Wv,,0.418,0.402,10.0,-12.942,1.0,0.0288,0.226,0.0,0.103,0.601,133.683,audio_features,spotify:track:0cFlXjTxFdMGGPfLVpt3Wv,https://api.spotify.com/v1/tracks/0cFlXjTxFdMGGPfLVpt3Wv,https://api.spotify.com/v1/audio-analysis/0cFlXjTxFdMGGPfLVpt3Wv,216280.0,4.0,https://i.scdn.co/image/ab67616d0000b27385eb9246557d28d02b825c21,2001-01-01,2001.0,False,53.0,https://p.scdn.co/mp3-preview/825b5551d928bb05bd1af029e37a7d67d7d12e8c?cid=484c8fc1e0c54669ac770f80991a8280,"'chicago soul', 'classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul'",45,501343
Saltwater Sun - Now or Never [Rock/Indie] (2016),Now or Never,2022-12-03,1.0,3.0,Saltwater Sun,Now or Never,,,"rock, indie",youtube,,https://www.youtube.com/watch?v=Fm2TUzkP09Q,Fm2TUzkP09Q,,,,,Now or Never,Saltwater Sun,67Cmi2pNMCsMJrCc7HfwL1,,0.499,0.6,0.0,-4.934,1.0,0.046,0.0152,0.0,0.359,0.388,125.629,audio_features,spotify:track:67Cmi2pNMCsMJrCc7HfwL1,https://api.spotify.com/v1/tracks/67Cmi2pNMCsMJrCc7HfwL1,https://api.spotify.com/v1/audio-analysis/67Cmi2pNMCsMJrCc7HfwL1,213796.0,4.0,https://i.scdn.co/image/ab67616d0000b273c75ec834b381cdcd09b192e6,2016-05-16,2016.0,True,11.0,https://p.scdn.co/mp3-preview/1a036477ed2bb19cd7962082a9ce9767702b853b?cid=484c8fc1e0c54669ac770f80991a8280,,21,4452
"Cruza -- Fantasy [R&B, Psychedelic] (2022)",Cruza - Fantasy,2022-12-04,0.72,3.0,Cruza,Fantasy,Cruza,Fantasy,"r&b, psychedelic",youtube,,https://www.youtube.com/watch?v=ipvJnIELp5M,ipvJnIELp5M,,,,,Fantasy,Cruza,3wMKWnMhw5EL1uPU0sW2S4,,0.48,0.443,7.0,-13.001,0.0,0.343,0.199,0.54,0.124,0.193,109.93,audio_features,spotify:track:3wMKWnMhw5EL1uPU0sW2S4,https://api.spotify.com/v1/tracks/3wMKWnMhw5EL1uPU0sW2S4,https://api.spotify.com/v1/audio-analysis/3wMKWnMhw5EL1uPU0sW2S4,179137.0,4.0,https://i.scdn.co/image/ab67616d0000b273f979065acb3d2e6c4bac6e5f,2022-12-02,2022.0,False,45.0,,"'alternative r&b', 'indie r&b'",48,8804
GUM - The Thrill of Doing it Right [Psych pop] (2020),The Thrill Of Doing It Right,2022-12-05,0.67,3.0,GUM,The Thrill of Doing it Right,,,psych pop,spotify,https://open.spotify.com/track/3acZFfcnVfTv60BEMUESa2,,,,,,3acZFfcnVfTv60BEMUESa2,The Thrill Of Doing It Right,GUM,3acZFfcnVfTv60BEMUESa2,https://open.spotify.com/track/3acZFfcnVfTv60BEMUESa2,0.454,0.864,7.0,-6.627,0.0,0.0546,0.00332,0.00162,0.249,0.513,159.953,audio_features,spotify:track:3acZFfcnVfTv60BEMUESa2,https://api.spotify.com/v1/tracks/3acZFfcnVfTv60BEMUESa2,https://api.spotify.com/v1/audio-analysis/3acZFfcnVfTv60BEMUESa2,243416.0,4.0,https://i.scdn.co/image/ab67616d0000b273bac9ce2265cc022c9c90fc95,2020-06-12,2020.0,False,20.0,https://p.scdn.co/mp3-preview/d6ca21041c3b1cb6f4392b4e3ed652b32a0dd4be?cid=484c8fc1e0c54669ac770f80991a8280,'cartoon',53,91373
Don Dawson - Before the Fall [Alternative Rock] (Debut Single),Before the Fall,2022-12-06,0.8,3.0,Don Dawson,Before the Fall,,,alternative rock,youtube,,https://www.youtube.com/watch?v=lMBeI7PRQqg,lMBeI7PRQqg,,,,,Before the Fall,Don Dawson,7eCStGORBZXrQhPTxtjOQw,,0.543,0.893,2.0,-5.677,1.0,0.0389,0.00977,0.00347,0.144,0.616,176.065,audio_features,spotify:track:7eCStGORBZXrQhPTxtjOQw,https://api.spotify.com/v1/tracks/7eCStGORBZXrQhPTxtjOQw,https://api.spotify.com/v1/audio-analysis/7eCStGORBZXrQhPTxtjOQw,192788.0,4.0,https://i.scdn.co/image/ab67616d0000b27374fe43bec8e340bc7ab032ca,2022-11-30,2022.0,False,3.0,https://p.scdn.co/mp3-preview/62b3ec7ad20c03cf3f437b42ce35ed08839fb924?cid=484c8fc1e0c54669ac770f80991a8280,,0,6
She Past Away - Durdu Dünya [Spiff Clip],She Past Away - Durdu Dünya (2019),2022-12-05,0.71,3.0,She Past Away,Durdu Dünya,She Past Away,Durdu Dünya,spiff clip,youtube,,https://www.youtube.com/watch?v=42oL42APkho,42oL42APkho,,,,,Durdu Dünya,She Past Away,0rXcRGePzt2vuBjTQnshsL,,0.605,0.94,11.0,-7.663,0.0,0.0293,0.0191,0.776,0.1,0.864,130.989,audio_features,spotify:track:0rXcRGePzt2vuBjTQnshsL,https://api.spotify.com/v1/tracks/0rXcRGePzt2vuBjTQnshsL,https://api.spotify.com/v1/audio-analysis/0rXcRGePzt2vuBjTQnshsL,291667.0,4.0,https://i.scdn.co/image/ab67616d0000b2739a39bffe270e7cb66a020f1f,2019-05-31,2019.0,False,41.0,https://p.scdn.co/mp3-preview/ad92f830d08e3676d9ae1b7ca8e9e8e50d104082?cid=484c8fc1e0c54669ac770f80991a8280,"'dark post-punk', 'gothic post-punk', 'modern goth', 'turkish post-punk'",46,144020
Jukka Nousiainen -- Lonely Rider [Finnish psychedelic iskelmä / rautalanka] (2016),Lonely Rider,2022-12-05,0.81,3.0,Jukka Nousiainen,Lonely Rider,,,"finnish psychedelic iskelmä, rautalanka",youtube,,https://www.youtube.com/watch?v=uHBMEYPH8vg,uHBMEYPH8vg,,,,,Lonely Rider,Jukka Nousiainen,1jGixCp6XXEnFMMDSUk4Il,,0.516,0.428,4.0,-12.079,0.0,0.224,0.28,0.771,0.135,0.427,92.025,audio_features,spotify:track:1jGixCp6XXEnFMMDSUk4Il,https://api.spotify.com/v1/tracks/1jGixCp6XXEnFMMDSUk4Il,https://api.spotify.com/v1/audio-analysis/1jGixCp6XXEnFMMDSUk4Il,198725.0,4.0,https://i.scdn.co/image/ab67616d0000b2737d3da61c80980a2379800b25,2016-07-15,2016.0,False,28.0,https://p.scdn.co/mp3-preview/63d38b0690899dc4339c82837763367d4c9d3bf8?cid=484c8fc1e0c54669ac770f80991a8280,"'finnish indie', 'finnish punk', 'laulaja-lauluntekija', 'suomi rock'",27,6689
Cat Stevens - Toy Heart [Folk Rock],Yusuf / Cat Stevens – Toy Heart ft. Eric Johnson [Official Lyric Video],2022-12-06,0.67,3.0,Cat Stevens,Toy Heart,Yusuf / Cat Stevens,Toy Heart ft. Eric Johnson,folk rock,youtube,,https://www.youtube.com/watch?v=yEutZ3tZO8I,yEutZ3tZO8I,,,,,Toy Heart,Yusuf / Cat Stevens,0xxHhyxy5iKiWrNou3nyJo,,0.764,0.687,7.0,-7.737,1.0,0.0361,0.0631,1.17e-05,0.349,0.688,124.982,audio_features,spotify:track:0xxHhyxy5iKiWrNou3nyJo,https://api.spotify.com/v1/tracks/0xxHhyxy5iKiWrNou3nyJo,https://api.spotify.com/v1/audio-analysis/0xxHhyxy5iKiWrNou3nyJo,179333.0,4.0,https://i.scdn.co/image/ab67616d0000b273bc26b96767cfe5a71eef3223,2019-11-01,2019.0,False,17.0,https://p.scdn.co/mp3-preview/3f4384dc7e699e783f7ff6bf5a314710b4011317?cid=484c8fc1e0c54669ac770f80991a8280,"'british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock'",68,1619961
