max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
From out of Nowhere - Faith No More,9890.0,"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",46.0,https://open.spotify.com/track/1UBqvQDlcfRL0BaknLvn1J,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://i.scdn.co/image/ab67616d0000b273e081ef6de656ee714788ea0d,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647
Salve - Gaerea,-20660.0,"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",-368860.0,https://open.spotify.com/track/3MV9rmFHKTu4LbHGwVA1lu,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://i.scdn.co/image/ab67616d0000b2735670d0a9e4bb4cc3eda4b9c6,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647
Salve - Gaerea,-2.06,"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",-36.88,https://open.spotify.com/track/3MV9rmFHKTu4LbHGwVA1lu,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://i.scdn.co/image/ab67616d0000b2735670d0a9e4bb4cc3eda4b9c6,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647
Dash - Night Bass,9000.0,Harlequin Title - Barry Leitch,709.0,https://open.spotify.com/track/4zZDPbj5mIZ8CO5fjVPySN,https://open.spotify.com/track/2M1jjX6Wg0VXsB5GvsdKvo,https://i.scdn.co/image/ab67616d0000b273f1b1394cefc94521174e8925,https://i.scdn.co/image/ab67616d0000b273342bdcae42288d0c6718a937
"Final Speech (From ""The Great Dictator"") - Charlie Chaplin",6590.0,Ode To My Family - The Cranberries,235.0,https://open.spotify.com/track/5HjcDXSfMbBmG4x04wELjK,https://open.spotify.com/track/5kcsc92tGAjS0uvhDY3Mok,https://i.scdn.co/image/ab67616d0000b273d6b6b7805850d79d33d03328,https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",9890.0,Salve - Gaerea,0.0,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://open.spotify.com/track/3MV9rmFHKTu4LbHGwVA1lu,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647,https://i.scdn.co/image/ab67616d0000b2735670d0a9e4bb4cc3eda4b9c6
"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",9820.0,The Science of Selling Yourself Short - Less Than Jake,0.0,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://open.spotify.com/track/1iD0a0plhO55cWEJa5UGcZ,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647,https://i.scdn.co/image/ab67616d0000b27346b71e44bcda9ea6eba4182e
The Call of the Mountains - Eluveitie,9740.0,The Science of Selling Yourself Short - Less Than Jake,367.0,https://open.spotify.com/track/0vTEksNDRuJxDMLOOgn0fA,https://open.spotify.com/track/1iD0a0plhO55cWEJa5UGcZ,https://i.scdn.co/image/ab67616d0000b27325ae6724fbf73d1a2877a220,https://i.scdn.co/image/ab67616d0000b27346b71e44bcda9ea6eba4182e
Heart-Shaped Box - Nirvana,203.0,"Orfeo ed Euridice, Wq. 30 (Arranged by Sgambati): Melodie dell'Orfeo - Christoph Willibald Gluck",69.0,https://open.spotify.com/track/11LmqTE2naFULdEP94AUBa,https://open.spotify.com/track/24cgBBhZD1cWekUqaYuqTB,https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c,https://i.scdn.co/image/ab67616d0000b2732aa849218866ec7455d5e647
