max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Fastest of the West - Drvmmer,9980.0,"Before Dawn, at the Winery - Yu-Peng Chen",152.0,https://open.spotify.com/track/3KHu3kriP0ZZ9xJjaaIm8F,https://open.spotify.com/track/21ovsz7zVD2bbOivYshYDh,https://i.scdn.co/image/ab67616d0000b273dddddd994d2670e01f6a4ad0,https://i.scdn.co/image/ab67616d0000b273fd948e98a2fba6e8b22cb873
Love is Short - Otoboke Beaver,-14619.0,"Before Dawn, at the Winery - Yu-Peng Chen",-325320.0,https://open.spotify.com/track/4lWBGCEsNyMEcNVHCb7Vxi,https://open.spotify.com/track/21ovsz7zVD2bbOivYshYDh,https://i.scdn.co/image/ab67616d0000b2732c96d9855d5d448df661c4c8,https://i.scdn.co/image/ab67616d0000b273fd948e98a2fba6e8b22cb873
Love is Short - Otoboke Beaver,-1.46,"Before Dawn, at the Winery - Yu-Peng Chen",-32.53,https://open.spotify.com/track/4lWBGCEsNyMEcNVHCb7Vxi,https://open.spotify.com/track/21ovsz7zVD2bbOivYshYDh,https://i.scdn.co/image/ab67616d0000b2732c96d9855d5d448df661c4c8,https://i.scdn.co/image/ab67616d0000b273fd948e98a2fba6e8b22cb873
La Manzanita - Los Tigres Del Norte,9140.0,Banned in D.C. - Bad Brains,936.0,https://open.spotify.com/track/2Kb2jBBCtrzxgvK00daHym,https://open.spotify.com/track/0YnP5BtP6lTwQV8gLOzaov,https://i.scdn.co/image/ab67616d0000b273d93a42b199efcf807640925c,https://i.scdn.co/image/ab67616d0000b273518d1a9d162cfce8a7db5c5e
"Life in a Scotch Sitting Room, Vol. 2 (Episode 15) - Ivor Cutler",8770.0,Astral Chill - Virtual Mage,246.0,https://open.spotify.com/track/4qm239QGfxk5Z5v34fx923,https://open.spotify.com/track/3YDXGi7zxc5FWxK1mmcqXn,https://i.scdn.co/image/ab67616d0000b273ed057f6bd78516fca9c8c338,https://i.scdn.co/image/ab67616d0000b27301a4c201d6b5366ab4c241c8
"Before Dawn, at the Winery - Yu-Peng Chen",9870.0,Desaparecer - Generacion Suicida,0.0,https://open.spotify.com/track/21ovsz7zVD2bbOivYshYDh,https://open.spotify.com/track/1F6F39GpSjJG7ZZ966Vbrk,https://i.scdn.co/image/ab67616d0000b273fd948e98a2fba6e8b22cb873,https://i.scdn.co/image/ab67616d0000b273b00e201ff7cb7aa244423607
Reminiscence - Hélène Vogelsinger,9620.0,Institutionalized - Suicidal Tendencies,0.0,https://open.spotify.com/track/77mcZL6Qj3hEjvqe2CJWZm,https://open.spotify.com/track/7G83ZwD2msTtFaBQExc8QB,https://i.scdn.co/image/ab67616d0000b273cf8178fd46647b64a5314d11,https://i.scdn.co/image/ab67616d0000b273ff66248fdc73fb872acf7087
"Casey Jones - Live at Fillmore East, New York City, April 1971 - Grateful Dead",8760.0,Come On - Deidre & the Dark,311.0,https://open.spotify.com/track/5SHF7MhUVYI32Ee2uNJhBG,https://open.spotify.com/track/629qu53Jw0TMv9IlsH9cCi,https://i.scdn.co/image/ab67616d0000b27389cf08b7775ca9dd29e52559,https://i.scdn.co/image/ab67616d0000b2734656294112e54dcb1a672b5e
Trash - Fuckin Whatever,190.0,Light - Hexsystem,63.0,https://open.spotify.com/track/1DH4bVlD5AHQBZmFHXWVdr,https://open.spotify.com/track/7yrdEcr68fOG0fAZsiUdph,https://i.scdn.co/image/ab67616d0000b273750c7044beef264871089d65,https://i.scdn.co/image/ab67616d0000b2738c0913dad2321faf100c894e
