max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Bird Wings - Huang Fu,9960.0,Untitled 1 - Izzy Oram Brown,2110.0,https://open.spotify.com/track/2OfbDnG4AJwDcaRZtDF2WO,https://open.spotify.com/track/4doe5mIUnNGfLCfqUaRcvh,https://i.scdn.co/image/ab67616d0000b27304c8b7190417b0d32f5d8b0b,https://i.scdn.co/image/ab67616d0000b27348e3a6b0d7146f68b633336b
Fall Apart - Sullivan King,-14469.0,Risveglio - CrisVola,-194480.0,https://open.spotify.com/track/5put6ich4wtW7pZXb1Jore,https://open.spotify.com/track/4aA0EX0rPRPUiR6E2yB8Xc,https://i.scdn.co/image/ab67616d0000b273cdb05736ec1f5f1f0b3915bf,https://i.scdn.co/image/ab67616d0000b27324adfd199bdd3c2491e5cb7c
Fall Apart - Sullivan King,-1.44,Risveglio - CrisVola,-19.44,https://open.spotify.com/track/5put6ich4wtW7pZXb1Jore,https://open.spotify.com/track/4aA0EX0rPRPUiR6E2yB8Xc,https://i.scdn.co/image/ab67616d0000b273cdb05736ec1f5f1f0b3915bf,https://i.scdn.co/image/ab67616d0000b27324adfd199bdd3c2491e5cb7c
La Manzanita - Los Tigres Del Norte,9140.0,Bird Wings - Huang Fu,1480.0,https://open.spotify.com/track/2Kb2jBBCtrzxgvK00daHym,https://open.spotify.com/track/2OfbDnG4AJwDcaRZtDF2WO,https://i.scdn.co/image/ab67616d0000b273d93a42b199efcf807640925c,https://i.scdn.co/image/ab67616d0000b27304c8b7190417b0d32f5d8b0b
Midnight - xander.,4370.0,La Vida Es Fría - Jason Joshua,231.0,https://open.spotify.com/track/0CEMnSZbJpMRoWBvUQstN1,https://open.spotify.com/track/4r3XQQZyf8p30M8fFkZJDa,https://i.scdn.co/image/ab67616d0000b273348595efa4d728f5ad7eb7ae,https://i.scdn.co/image/ab67616d0000b273ecb3cd245cf60c0e75b07c09
East Palestine Ohio - Conor Ryan Hennessy,9630.0,Desaparecer - Generacion Suicida,0.0,https://open.spotify.com/track/2pdIMfHdwf1aX6Jgha3UFk,https://open.spotify.com/track/1F6F39GpSjJG7ZZ966Vbrk,https://i.scdn.co/image/ab67616d0000b273bbcc7120f0b3b08200b4133d,https://i.scdn.co/image/ab67616d0000b273b00e201ff7cb7aa244423607
Bird Wings - Huang Fu,9640.0,East Palestine Ohio - Conor Ryan Hennessy,0.0,https://open.spotify.com/track/2OfbDnG4AJwDcaRZtDF2WO,https://open.spotify.com/track/2pdIMfHdwf1aX6Jgha3UFk,https://i.scdn.co/image/ab67616d0000b27304c8b7190417b0d32f5d8b0b,https://i.scdn.co/image/ab67616d0000b273bbcc7120f0b3b08200b4133d
Fell In Love With a Girl - The White Stripes,9410.0,Trigger - Bone Machine,385.0,https://open.spotify.com/track/21Qsj3cMVCx2xF2EVVNbEu,https://open.spotify.com/track/5OBsWyUyV5eqveZaqmWrAp,https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721,https://i.scdn.co/image/ab67616d0000b273094e4647c66f7fc24e609b2c
Weapon Of Choice - Fatboy Slim,195.0,Dunkelheit - Burzum,54.0,https://open.spotify.com/track/08kB9HSfrcIi83rymwgjMz,https://open.spotify.com/track/5v3TSHYm8BzbON2u6QBEG7,https://i.scdn.co/image/ab67616d0000b273bec2d7f1e2e518ccf4af1ce1,https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3
