max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
My Hearse...(is Double Parked) - 1313 Mockingbird Lane,9910.0,星の奏でる歌 -piano- - Nobuaki Nobusawa,442.0,https://open.spotify.com/track/2NbwLfl1wDnOITaxPrvweZ,https://open.spotify.com/track/4f5qhRdAaAJ1mHwLsVPkXM,https://i.scdn.co/image/ab67616d0000b2733aa67bf9ce1bcdd028f36a80,https://i.scdn.co/image/ab67616d0000b273c5bf7bf1c1360971be7bd4d2
My Hearse...(is Double Parked) - 1313 Mockingbird Lane,-1340.0,星の奏でる歌 -piano- - Nobuaki Nobusawa,-265200.0,https://open.spotify.com/track/2NbwLfl1wDnOITaxPrvweZ,https://open.spotify.com/track/4f5qhRdAaAJ1mHwLsVPkXM,https://i.scdn.co/image/ab67616d0000b2733aa67bf9ce1bcdd028f36a80,https://i.scdn.co/image/ab67616d0000b273c5bf7bf1c1360971be7bd4d2
My Hearse...(is Double Parked) - 1313 Mockingbird Lane,-0.13,星の奏でる歌 -piano- - Nobuaki Nobusawa,-26.52,https://open.spotify.com/track/2NbwLfl1wDnOITaxPrvweZ,https://open.spotify.com/track/4f5qhRdAaAJ1mHwLsVPkXM,https://i.scdn.co/image/ab67616d0000b2733aa67bf9ce1bcdd028f36a80,https://i.scdn.co/image/ab67616d0000b273c5bf7bf1c1360971be7bd4d2
Too Late - MoneySign Suede,9390.0,Vastness And Sorrow - Wolves In The Throne Room,1150.0,https://open.spotify.com/track/6NGskEgrxwOfeDwJ1KIk0t,https://open.spotify.com/track/4CwnhY0OMmMA1S1Y0nIQaX,https://i.scdn.co/image/ab67616d0000b2739ba085929b4f1e70b0652900,https://i.scdn.co/image/ab67616d0000b2733487bf416e868b5e04110f6e
Stakes Is High - De La Soul,4520.0,Possum Kingdom - Toadies,254.0,https://open.spotify.com/track/5sfXK6yQlY9vSzuR3f3oD8,https://open.spotify.com/track/56SkdBKyR2zOkjk6wVFI9s,https://i.scdn.co/image/ab67616d0000b273092a9f0f2f9bf08cdf0cdf17,https://i.scdn.co/image/ab67616d0000b27385fb885d41591752340eeccc
星の奏でる歌 -piano- - Nobuaki Nobusawa,9900.0,Run Baby Run - Garbage,0.0,https://open.spotify.com/track/4f5qhRdAaAJ1mHwLsVPkXM,https://open.spotify.com/track/3gwiRLnvg4w0iFkedg66US,https://i.scdn.co/image/ab67616d0000b273c5bf7bf1c1360971be7bd4d2,https://i.scdn.co/image/ab67616d0000b273cc8b741cf484d6a6108f6475
Vastness And Sorrow - Wolves In The Throne Room,9280.0,Undercover Martyn - Two Door Cinema Club,0.0,https://open.spotify.com/track/4CwnhY0OMmMA1S1Y0nIQaX,https://open.spotify.com/track/0bePGTDjn0XuEKoN7rOMvV,https://i.scdn.co/image/ab67616d0000b2733487bf416e868b5e04110f6e,https://i.scdn.co/image/ab67616d0000b273585f3d70dce678a5978a0941
Stakes Is High - De La Soul,9550.0,Dr. Suess - Ski Mask The Slump God,325.0,https://open.spotify.com/track/5sfXK6yQlY9vSzuR3f3oD8,https://open.spotify.com/track/4nFAUqFou9ZbWNho3jeY1h,https://i.scdn.co/image/ab67616d0000b273092a9f0f2f9bf08cdf0cdf17,https://i.scdn.co/image/ab67616d0000b27388f4ba4060b8c1b123e6f62f
Shakin' in Yer Boots - Chipped Nail Polish,183.0,Me and My Tapeworm - Sylvester Weaver,63.0,https://open.spotify.com/track/6BU7aUmR9Qngpkg0bSP8bc,https://open.spotify.com/track/57wKy1TGRzZsChsAth9FtI,https://i.scdn.co/image/ab67616d0000b2737e6a8a353a8d3bef41ac4699,https://i.scdn.co/image/ab67616d0000b273ac9f6c13c53302483bfb4ba1
