max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Wooly Bully - Brainstorm,9990.0,"Jeux d'eau, M. 30 - Maurice Ravel",772.0,https://open.spotify.com/track/6huUPRrzQ94CFOqBqIGpwr,https://open.spotify.com/track/3C2gIEx1XlnLW7uxS3BeLi,https://i.scdn.co/image/ab67616d0000b2730d21c197cd7e7c5754983eec,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e
Wooly Bully - Brainstorm,-20940.0,"Jeux d'eau, M. 30 - Maurice Ravel",-256050.0,https://open.spotify.com/track/6huUPRrzQ94CFOqBqIGpwr,https://open.spotify.com/track/3C2gIEx1XlnLW7uxS3BeLi,https://i.scdn.co/image/ab67616d0000b2730d21c197cd7e7c5754983eec,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e
Wooly Bully - Brainstorm,-2.09,"Jeux d'eau, M. 30 - Maurice Ravel",-25.6,https://open.spotify.com/track/6huUPRrzQ94CFOqBqIGpwr,https://open.spotify.com/track/3C2gIEx1XlnLW7uxS3BeLi,https://i.scdn.co/image/ab67616d0000b2730d21c197cd7e7c5754983eec,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e
Books Of The New Testament - Cedarmont Kids,9450.0,Canon in D - Johann Pachelbel,1510.0,https://open.spotify.com/track/6Eir2RmN7Dxi4DI70aLx4i,https://open.spotify.com/track/1c3GkbZBnyrQ1cm4TGHFrK,https://i.scdn.co/image/ab67616d0000b2732a77c12234cb5e27a317f27e,https://i.scdn.co/image/ab67616d0000b273db8b4f88699f1033124ba8a5
The Mask - DANGERDOOM,4920.0,Young Liars - TV On The Radio,248.0,https://open.spotify.com/track/4eot5ez7vqPdifsGb785tr,https://open.spotify.com/track/5FMhejeHdxTibd9T0pfurT,https://i.scdn.co/image/ab67616d0000b2736c3fb85147fcf2972923cf2d,https://i.scdn.co/image/ab67616d0000b2732719ce633a6c9a4b13b1f918
"Jeux d'eau, M. 30 - Maurice Ravel",9920.0,Why - Chat Pile,0.0,https://open.spotify.com/track/3C2gIEx1XlnLW7uxS3BeLi,https://open.spotify.com/track/4Dgro3nLadAhwTIgNsNt57,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e,https://i.scdn.co/image/ab67616d0000b273b4bbf605bb789fe8ddef54f4
Magical Shadows of a Tragic Past - Mutiilation,9750.0,Preachin' Blues - Son House,0.0,https://open.spotify.com/track/5HRn3Sz4Zx9MMJZQsFtPeL,https://open.spotify.com/track/4YEoVkvvzx5eavtE2u5qG0,https://i.scdn.co/image/ab67616d0000b273ef0fb87094ab889d307f1cdd,https://i.scdn.co/image/ab67616d0000b273294ffc8b2fd60e89bafe6bf2
Gemini - Phrases,9330.0,Chess - conductor.,231.0,https://open.spotify.com/track/5sSnxXhByrsUasBKtlH2lt,https://open.spotify.com/track/15q58yHDXufHXKQXVz48O5,https://i.scdn.co/image/ab67616d0000b27399ff2ba7658c8122aeffdc88,https://i.scdn.co/image/ab67616d0000b27358c44e25da32d3e7e5e9ab87
Waiting for the Day - Reigning Sound,185.0,"Jeux d'eau, M. 30 - Maurice Ravel",67.0,https://open.spotify.com/track/3HIuqFaHnyRs75Xxz27xZq,https://open.spotify.com/track/3C2gIEx1XlnLW7uxS3BeLi,https://i.scdn.co/image/ab67616d0000b27398cb79e54857e0d4d632f26b,https://i.scdn.co/image/ab67616d0000b27359e4a9baf600462ce6e7aa9e
