max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Without Love - Propagandhi,9880.0,"The Secret Life Of Daydreams - From ""Pride & Prejudice"" Soundtrack - Jean-Yves Thibaudet",213.0,https://open.spotify.com/track/6kte0ffDoDZNiLCD8NviB7,https://open.spotify.com/track/5YArnxq4lg8JYw7baZQnuE,https://i.scdn.co/image/ab67616d0000b273c749f5af82a58799ef0742c3,https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f
The Arms of Sorrow - Killswitch Engage,-27289.0,"The Secret Life Of Daydreams - From ""Pride & Prejudice"" Soundtrack - Jean-Yves Thibaudet",-300510.0,https://open.spotify.com/track/42lC6bnDdAjRqZtsFe1tmg,https://open.spotify.com/track/5YArnxq4lg8JYw7baZQnuE,https://i.scdn.co/image/ab67616d0000b273cc5bb1a3f809896baf67dba4,https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f
The Arms of Sorrow - Killswitch Engage,-2.72,"The Secret Life Of Daydreams - From ""Pride & Prejudice"" Soundtrack - Jean-Yves Thibaudet",-30.05,https://open.spotify.com/track/42lC6bnDdAjRqZtsFe1tmg,https://open.spotify.com/track/5YArnxq4lg8JYw7baZQnuE,https://i.scdn.co/image/ab67616d0000b273cc5bb1a3f809896baf67dba4,https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f
Point and Kill - Little Simz,9440.0,Does Anyone Else - Enola,1930.0,https://open.spotify.com/track/52y4KhkcAbYcogFg2u7UVP,https://open.spotify.com/track/1spwke58tV5rvomiSWg4Hl,https://i.scdn.co/image/ab67616d0000b273aede85ed28c2237a33b63dba,https://i.scdn.co/image/ab67616d0000b273b731b271c67871335f70626e
Buss It Down - Bouba Savage,4029.0,All the Mallrats - Adult Male Blond,229.0,https://open.spotify.com/track/13r2cvrT6LOYJqoc2lWwTm,https://open.spotify.com/track/3LMoyEtSwhmYfuOCLlmP8m,https://i.scdn.co/image/ab67616d0000b273211383ab92cb57741c67d1f9,https://i.scdn.co/image/ab67616d0000b273434ba073195fcb395a8c24d2
Follow me - Andre Ehmann,9950.0,The Echo (Replacement) - Demilich,0.0,https://open.spotify.com/track/7d44sL4znFm5HZ6ltUVqbI,https://open.spotify.com/track/0S54opeGeB1tkVMIxkTsj3,https://i.scdn.co/image/ab67616d0000b2736492d0bc1aa46aabdd807387,https://i.scdn.co/image/ab67616d0000b27374e0e48e1de66a83dc8d1cfa
"Breeze (from ""Harvest Moon: A Wonderful Life"") - Nintnt",9770.0,El Scorcho - Weezer,0.0,https://open.spotify.com/track/4RLdu8eDCaMt9egMrD1mft,https://open.spotify.com/track/3g2gQMeeQAEPztiQKMlGSl,https://i.scdn.co/image/ab67616d0000b273933f2590066b8247b6211429,https://i.scdn.co/image/ab67616d0000b273f4f9accdc0fb8ddee29e32b7
Sex Crime (1984) - Live - Eurythmics,9960.0,Distortion Sleep - Soilwork,341.0,https://open.spotify.com/track/5Zzs9O9QlPgWkfhoaR2J0H,https://open.spotify.com/track/3yPQrLnNIthn4I5wQ51X26,https://i.scdn.co/image/ab67616d0000b27395f8ed4cb2be01d60ad6474d,https://i.scdn.co/image/ab67616d0000b2731b962bb6ef3614610adafaaf
Oxycontinent (Ballad Of Rush Limbaugh) - That's What You Get,202.0,"The Secret Life Of Daydreams - From ""Pride & Prejudice"" Soundtrack - Jean-Yves Thibaudet",70.0,https://open.spotify.com/track/5rNsYwgEWV64eRjV4BB52u,https://open.spotify.com/track/5YArnxq4lg8JYw7baZQnuE,https://i.scdn.co/image/ab67616d0000b273fb91f575ddcfe3cd596b49f6,https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f
